ID		part		anti		mass		width		charge		spin		shape		ctau
11		e-		e+		0.000510998928	0.		-1		0.5		---		-1.
12		nue		anti-nue	0.		0.		 0		0.5		---		-1.
13		mu-		mu+		0.1056583745	0.		-1		0.5		---		658638.4
14		numu		anti-numu	0.		0.		 0		0.5		---		-1.
15		tau-		tau+		1.77686		0.		-1		0.5		---		0.08703
16		nutau		anti-nutau	0.		0.		 0		0.5		---		-1.
22		gamma		---		0.		0.		 0		1.0		---		-1.
111		pi0		---		0.1349766	0.00000000773	 0		0.0		RBW		-1.
211		pi+		pi-		0.13957018	0.		 1		0.0		---		7804.5
221		eta		---		0.547862	0.00000131	 0		0.0		---		-1.
113		rho0		---		0.77526		0.1478		 0		1.0		GS		-1.
213		rho+		rho-		0.77511		0.1491		 1		1.0		GS		-1.
223		omega		---		0.78265		0.00849		 0		1.0		---		-1.
2212		p+		p-		0.938272046	0.		 1		0.5		---		-1.
2112		n0		n0b		0.939565379	0.		 0		0.5		---		-1.
130		KL		---		0.497611	0.		 0		0.0		---		15340.
310		KS		---		0.497611	0.		 0		0.0		---		26.844
311		K0		K0b		0.497611	0.		 0		0.0		---		-1.
321		K+		K-		0.493677	0.		 1		0.0		---		3711.
313		K*0		K*0b		0.89581		0.0474		 0		1.0		RBW		-1.
323		K*+		K*-		0.89166		0.0508		 1		1.0		RBW		-1.
100313		K*(1410)0	K*(1410)0b	1.414		0.232		 0		1.0		RBW		-1.
100323		K*(1410)+	K*(1410)-	1.414		0.232		 1		1.0		RBW		-1.
10311		K0*(1430)0	K0*(1430)0b	1.425		0.270		 0		0.0		RBW		-1.
10321		K0*(1430)+	K0*(1430)-	1.425		0.270		 1		0.0		RBW		-1.
10313		K1(1270)0	K1(1270)0b	1.272		0.090		 0		1.0		RBW		-1.
10323		K1(1270)+	K1(1270)-	1.272		0.090		 1		1.0		RBW		-1.
20313		K1(1400)0	K1(1400)0b	1.403		0.174		 0		1.0		RBW		-1.
20323		K1(1400)+	K1(1400)-	1.403		0.174		 1		1.0		RBW		-1.
315		K2*(1430)0	K2*(1430)0b	1.4324		0.109		 0		2.0		RBW		-1.
325		K2*(1430)+	K2*(1430)-	1.4256		0.0985		 1		2.0		RBW		-1.
331		eta'		---		0.95778		0.000198	 0		0.0		---		-1.
333		phi		---		1.019461	0.004266	 0		1.0		RBW		-1.
380		f'_2(1525)      ---             1.5174          0.0860           0              2.0             RBW             -1.
3122		Lambda0		Lambda0b	1.115683	0.		 0		0.5		---		78.9
13122		Lambda(1405)    Lambda(1405)b   1.405           0.051            0              0.5             RBW             -1.
31220		Lambda(1520)	Lambda(1520)b	1.5195		0.0156		 0		1.5		RBW		-1.
23122		Lambda(1600)    Lambda(1600)b   1.600           0.200            0              0.5             RBW             -1.
33122		Lambda(1670)    Lambda(1670)b   1.674           0.030            0              0.5             RBW             -1. 
13124		Lambda(1690)    Lambda(1690)b   1.690           0.070            0              1.5             RBW             -1.
43122		Lambda(1800)    Lambda(1800)b   1.800           0.200            0              0.5             RBW             -1. 
53122		Lambda(1810)    Lambda(1810)b   1.790           0.110            0              0.5             RBW             -1. 
3126		Lambda(1820)    Lambda(1820)b   1.820           0.080            0              2.5             RBW             -1.
13126		Lambda(1830)    Lambda(1830)b   1.825           0.090            0              2.5             RBW             -1.
23124		Lambda(1890)    Lambda(1890)b   1.890           0.120            0              1.5             RBW             -1.
3128		Lambda(2100)    Lambda(2100)b   2.100           0.200            0              3.5             RBW             -1.   
3222		Sigma+		---		1.18937		0.		 1		0.5		---		24.04
3212		Sigma0		Sigma0b		1.192642	0.		 0		0.5		---		-1.
3112		Sigma-		---		1.197449	0.		-1		0.5		---		44.34
